model,keypad,row,physical_key,access,prefix_color,function,description,keyboard_printed_page,keyboard_pdf_page,function_printed_pages,function_pdf_pages,manual_pdf
HP-28C,Right keypad (numeric / function panel),7,.,shift,red,π,pi constant,24–25,26–27,219–239,221–241,hp/manuals/HP-28C.pdf
HP-28C,Right keypad (numeric / function panel),7,",",none,,",",decimal point,24–25,26–27,219–239,221–241,hp/manuals/HP-28C.pdf
HP-28C,Right keypad (numeric / function panel),7,",",shift,red,CONVERT,unit conversion,24–25,26–27,219–239,221–241,hp/manuals/HP-28C.pdf
HP-28C,Right keypad (numeric / function panel),7,+,none,,+,,24–25,26–27,219–239,221–241,hp/manuals/HP-28C.pdf
HP-28C,Right keypad (numeric / function panel),7,+,shift,red,x²,square,24–25,26–27,219–239,221–241,hp/manuals/HP-28C.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,A,none,,A,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,A,shift,red,ARRAY,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,B,none,,B,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,B,shift,red,BINARY,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,C,none,,C,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,C,shift,red,COMPLX,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,D,none,,D,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,D,shift,red,STRING,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,E,none,,E,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,E,shift,red,LIST,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,F,none,,F,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),1,F,shift,red,REAL,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,G,none,,G,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,G,shift,red,STACK,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,H,none,,H,scale plot height,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,H,shift,red,STORE,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,I,none,,I,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,I,shift,red,MEMORY,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,J,none,,J,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,J,shift,red,ALGBRA,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,K,none,,K,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,K,shift,red,STAT,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,L,none,,L,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),2,L,shift,red,PRINT,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),3,M,none,,M,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),3,M,shift,red,CONTRL,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),3,N,none,,N,number of data points,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),3,N,shift,red,BRANCH,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),3,O,none,,O,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),3,O,shift,red,TEST,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),3,P,none,,P,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),3,Q,none,,Q,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),3,Q,shift,red,CATALOG,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),3,R,none,,R,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),3,R,shift,red,UNITS,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,S,none,,S,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,S,shift,red,≤,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,T,none,,T,percent of total,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,T,shift,red,≥,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,U,none,,U,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,U,shift,red,→,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,V,none,,V,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,V,shift,red,Σ,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,W,none,,W,scale plot width,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,W,shift,red,°,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,X,none,,X,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),4,X,shift,red,µ,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,Y,none,,Y,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,Y,shift,red,<,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,Z,none,,Z,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,Z,shift,red,>,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,#,none,,#,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,#,shift,red,"""",,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,{,none,,{,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,{,shift,red,},,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,[,none,,[,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,[,shift,red,],,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,(,none,,(,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),5,(,shift,red,),,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),6,SPACE,none,,SPACE,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),6,SPACE,shift,red,NEWLINE,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),6,«,none,,«,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),6,«,shift,red,≫,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),6,=,none,,=,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),6,=,shift,red,≠,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),6,LC,none,,LC,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),6,LC,shift,red,?,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),6,α,none,,α,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Left keypad (alpha / menu-selection panel),6,α,shift,red,MENUS,toggle menu lock,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),none,,(menu key),,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),shift,red,INS,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),none,,(menu key),,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),shift,red,DEL,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),none,,(menu key),,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),shift,red,▲,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),none,,(menu key),,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),shift,red,▼,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),none,,(menu key),,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),shift,red,◄,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),none,,(menu key),,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),1,(menu key),shift,red,►,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),2,(red shift),none,,(red shift),,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),2,◄▶ (mode key),none,,◄▶ (mode key),,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),2,◄▶ (mode key),shift,red,MODE,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),2,TRIG,none,,TRIG,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),2,TRIG,shift,red,LOGS,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),2,SOLV,none,,SOLV,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),2,SOLV,shift,red,PLOT,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),2,USER,none,,USER,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),2,USER,shift,red,CUSTOM,show last custom menu,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),2,NEXT,none,,NEXT,"close loop, step by 1",26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),2,NEXT,shift,red,PREV,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),3,ENTER,none,,ENTER,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),3,ENTER,shift,red,EDIT,edit level-1 object,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),3,CHS,none,,CHS,change sign / negate,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),3,CHS,shift,red,VIEW▲,scroll display up,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),3,EEX,none,,EEX,enter power-of-ten exponent,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),3,EEX,shift,red,VIEW▼,scroll display down,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),3,DROP,none,,DROP,drop level 1,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),3,DROP,shift,red,ROLL,roll nth object to level 1,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),3,◆,none,,◆,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),3,◆,shift,red,SWAP,exchange levels 1 and 2,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),4,\,none,,\,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),4,7,none,,7,digit 7,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),4,7,shift,red,COMMAND,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),4,8,none,,8,digit 8,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),4,8,shift,red,UNDO,toggle UNDO stack saving,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),4,9,none,,9,digit 9,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),4,9,shift,red,LAST,toggle LAST-arguments saving,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),4,÷,none,,÷,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),4,÷,shift,red,1/x,reciprocal,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),5,STO,none,,STO,store into variable,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),5,STO,shift,red,RCL,recall variable contents,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),5,4,none,,4,digit 4,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),5,4,shift,red,PURGE,delete variables,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),5,5,none,,5,digit 5,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),5,5,shift,red,∫,definite/indefinite integral,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),5,6,none,,6,digit 6,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),5,6,shift,red,d/dx,derivative,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),5,×,none,,×,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),5,×,shift,red,^,raise to a power,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),6,EVAL,none,,EVAL,evaluate an object,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),6,EVAL,shift,red,→NUM,force numeric result,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),6,1,none,,1,digit 1,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),6,1,shift,red,CONT,resume halted program,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),6,2,none,,2,digit 2,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),6,2,shift,red,%,percent,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),6,3,none,,3,digit 3,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),6,3,shift,red,%CH,percent change,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),6,−,none,,−,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),6,−,shift,red,√x,square root,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),7,ON,none,,ON,power on/off,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),7,ON,shift,red,OFF,power on/off,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),7,0,none,,0,digit 0,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),7,0,shift,red,CLEAR,clear the stack,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),7,.,none,,.,decimal point,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),7,.,shift,red,π,pi constant,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),7,",",none,,",",decimal point,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),7,",",shift,red,CONVERT,unit conversion,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),7,+,none,,+,,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-28S,Right keypad (numeric / function panel),7,+,shift,red,x²,square,26–27,28–29,307–326; 327–331,309–333,hp/manuals/HP-28S.pdf
HP-42S,,1,Σ+,none,,Σ+,"accumulate an x,y data pair",18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,1,Σ+,shift,orange,Σ−,"remove an x,y data pair",18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,1,1/x,none,,1/x,reciprocal,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,1,1/x,shift,orange,yˣ,,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,1,√x,none,,√x,,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,1,√x,shift,orange,x²,,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,1,LOG,none,,LOG,common logarithm,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,1,LOG,shift,orange,10ˣ,,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,1,LN,none,,LN,natural logarithm,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,1,LN,shift,orange,eˣ,,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,1,XEQ,none,,XEQ,execute a function or program,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,1,XEQ,shift,orange,GTO,branch to a label,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,STO,none,,STO,store x,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,STO,shift,orange,COMPLEX,combine/split real ↔ complex,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,RCL,none,,RCL,recall to x,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,RCL,shift,orange,%,percent,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,R↓,none,,R↓,roll stack down,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,R↓,shift,orange,π,recall π,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,SIN,none,,SIN,sine,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,SIN,shift,orange,ASIN,arc sine,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,COS,none,,COS,cosine,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,COS,shift,orange,ACOS,arc cosine,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,TAN,none,,TAN,tangent,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,2,TAN,shift,orange,ATAN,arc tangent,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,3,ENTER,none,,ENTER,"duplicate x, separate entries",18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,3,ENTER,shift,orange,ALPHA,select the ALPHA menu,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,3,x⇄y,none,,x⇄y,swap X and Y,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,3,x⇄y,shift,orange,LAST x,recall last x,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,3,+/−,none,,+/−,change sign,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,3,+/−,shift,orange,MODES,select the MODES menu,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,3,E,none,,E,enter power-of-ten exponent,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,3,E,shift,orange,DISP,select the DISP menu,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,3,←,none,,←,move one element left,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,3,←,shift,orange,CLEAR,select the CLEAR menu,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,4,▲,none,,▲,,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,4,▲,shift,orange,BST,back-step the program pointer,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,4,7,none,,7,digit 7,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,4,7,shift,orange,SOLVER,select the SOLVER menu,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,4,8,none,,8,digit 8,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,4,8,shift,orange,∫f(x),select the integration menu,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,4,9,none,,9,digit 9,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,4,9,shift,orange,MATRIX,,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,4,÷,none,,÷,division,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,4,÷,shift,orange,STAT,select the STAT menu,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,5,▼,none,,▼,,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,5,▼,shift,orange,SST,single-step the program pointer,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,5,4,none,,4,digit 4,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,5,4,shift,orange,BASE,select the BASE menu,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,5,5,none,,5,digit 5,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,5,5,shift,orange,CONVERT,select the CONVERT menu,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,5,6,none,,6,digit 6,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
HP-42S,,5,6,shift,orange,FLAGS,select the FLAGS menu,18–22,2,310–335,318–343,hp/manuals/HP-42S.pdf
